ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
2088,2088,1029,,,deVaan2008
2089,2090,1029,,,deVaan2008
2090,2089,1030,,,deVaan2008
2091,2091,1030,,,deVaan2008
2092,2092,1031,,,wiktionary2017
2093,2094,1031,,,wiktionary2017
2094,2093,1032,,,wiktionary2017
2095,2095,1032,,,wiktionary2017
2096,2096,1033,,,deVaan2008
2097,2098,1033,,,deVaan2008
2098,2097,1034,,,deVaan2008
2099,2099,1034,,,deVaan2008
2100,2100,1035,,,wiktionary2017
2101,2102,1035,,,wiktionary2017
2102,2101,1036,,,wiktionary2017
2103,2103,1036,,,wiktionary2017
2104,2104,1037,,,deVaan2008
2105,2106,1037,,,deVaan2008
2106,2105,1038,,,deVaan2008
2107,2107,1038,,,deVaan2008
